,country,sig_date,asr_date
97,Maldives,,19 Sep	 2006 a
98,Mali,,16 Jul	 1974 a
99,Malta,,13 Sep	 1990 a
100,Mauritania,,17 Nov	 2004 a
101,Mauritius,,12 Dec	 1973 a
102,Mexico,,23 Mar	 1981 a
103,Monaco,26 Jun	 1997,28 Aug	 1997
104,Mongolia,5 Jun	 1968,18 Nov	 1974
105,Montenegro11,,23 Oct	 2006 d
106,Morocco,19 Jan	 1977,3 May	 1979
107,Mozambique,,21 Jul	 1993 a
108,Namibia,,28 Nov	 1994 a
109,Nauru,12 Nov	 2001,
110,Nepal,,14 May	 1991 a
111,Netherlands,25 Jun	 1969,11 Dec	 1978
112,New Zealand12,12 Nov	 1968,28 Dec	 1978
113,Nicaragua,,12 Mar	 1980 a
114,Niger,,7 Mar	 1986 a
115,Nigeria,,29 Jul	 1993 a
116,Norway,20 Mar	 1968,13 Sep	 1972
117,Pakistan,17 Apr	 2008,23 Jun	 2010
118,Palau,20 Sep	 2011,
119,Panama,27 Jul	 1976,8 Mar	 1977
120,Papua New Guinea,,21 Jul	 2008 a
121,Paraguay,,10 Jun	 1992 a
122,Peru,11 Aug	 1977,28 Apr	 1978
123,Philippines,19 Dec	 1966,23 Oct	 1986
124,Poland,2 Mar	 1967,18 Mar	 1977
125,Portugal4,7 Oct	 1976,15 Jun	 1978
126,Republic of Korea,,10 Apr	 1990 a
127,Republic of Moldova,,26 Jan	 1993 a
128,Romania,27 Jun	 1968,9 Dec	 1974
129,Russian Federation,18 Mar	 1968,16 Oct	 1973
130,Rwanda,,16 Apr	 1975 a
131,Samoa,,15 Feb	 2008 a
132,San Marino,,18 Oct	 1985 a
133,Sao Tome and Principe,31 Oct	 1995,
134,Senegal,6 Jul	 1970,13 Feb	 1978
135,Serbia1,,12 Mar	 2001 d
136,Seychelles,,5 May	 1992 a
137,Sierra Leone,,23 Aug	 1996 a
138,Slovakia7,,28 May	 1993 d
139,Slovenia1,,6 Jul	 1992 d
140,Somalia,,24 Jan	 1990 a
141,South Africa,3 Oct	 1994,10 Dec	 1998
142,Spain,28 Sep	 1976,27 Apr	 1977
143,Sri Lanka,,11 Jun	 1980 a
144,St. Lucia,22 Sep	 2011,
145,St. Vincent and the Grenadines,,9 Nov	 1981 a
146,Sudan,,18 Mar	 1986 a
147,Suriname,,28 Dec	 1976 a
148,Swaziland,,26 Mar	 2004 a
149,Sweden,29 Sep	 1967,6 Dec	 1971
150,Switzerland,,18 Jun	 1992 a
151,Syrian Arab Republic,,21 Apr	 1969 a
152,Tajikistan,,4 Jan	 1999 a
153,Thailand,,29 Oct	 1996 a
154,The former Yugoslav Republic of Macedonia1,,18 Jan	 1994 d
155,Timor-Leste,,18 Sep	 2003 a
156,Togo,,24 May	 1984 a
157,Trinidad and Tobago,,21 Dec	 1978 a
158,Tunisia,30 Apr	 1968,18 Mar	 1969
159,Turkey,15 Aug	 2000,23 Sep	 2003
160,Turkmenistan,,1 May	 1997 a
161,Uganda,,21 Jun	 1995 a
162,Ukraine,20 Mar	 1968,12 Nov	 1973
163,United Kingdom of Great Britain and Northern Ireland6,16 Sep	 1968,20 May	 1976
164,United Republic of Tanzania,,11 Jun	 1976 a
165,United States of America,5 Oct	 1977,8 Jun	 1992
166,Uruguay,21 Feb	 1967,1 Apr	 1970
167,Uzbekistan,,28 Sep	 1995 a
168,Vanuatu,29 Nov	 2007,21 Nov	 2008
169,Venezuela (Bolivarian Republic of),24 Jun	 1969,10 May	 1978
170,Viet Nam,,24 Sep	 1982 a
171,Yemen,,9 Feb	 1987 a
172,Zambia,,10 Apr	 1984 a
173,Zimbabwe,,13 May	 1991 a
