YEAR,COW,PHYSINT,DISAP,KILL,POLPRIS,TORT,INJUD
2007,305,7,2,2,2,1,2
2008,305,7,2,2,2,1,2
2009,305,7,2,1,2,2,2
2010,305,7,2,2,2,1,2
1981,373,,,,,,
1982,373,,,,,,
1983,373,,,,,,
1984,373,,,,,,
1985,373,,,,,,
1986,373,,,,,,
1987,373,,,,,,
1988,373,,,,,,
1989,373,,,,,,
1990,373,,,,,,
1991,373,,,,,,
1992,373,4,1,1,1,1,1
1993,373,3,0,2,0,1,0
1994,373,3,1,1,0,1,0
1995,373,4,2,1,0,1,0
1996,373,3,2,1,0,0,0
1997,373,3,2,1,0,0,0
1998,373,4,2,2,0,0,0
1999,373,5,2,1,1,1,0
2000,373,4,2,1,1,0,0
2001,373,5,2,2,0,1,0
2002,373,4,2,2,0,0,0
2003,373,3,2,1,0,0,0
2004,373,3,2,1,0,0,0
2005,373,2,1,1,0,0,0
2006,373,2,1,1,0,0,0
2007,373,2,1,1,0,0,0
2008,373,3,2,1,0,0,0
2009,373,3,2,1,0,0,0
2010,373,3,2,1,0,0,0
1981,31,,,,,,2
1982,31,,,,,,2
1983,31,,,,,,2
1984,31,,,,,,2
1985,31,,,,,,2
1986,31,,,,,,2
1987,31,,,,,,2
1988,31,,,,,,2
1989,31,,,,,,2
1990,31,,,,,,2
1991,31,,,,,,2
1992,31,,,,,,2
1993,31,,,,,,2
1994,31,,,,,,2
1995,31,,,,,,2
1996,31,,,,,,2
1997,31,,,,,,2
1998,31,,,,,,2
1999,31,,,,,,2
2000,31,,,,,,2
2001,31,7,2,2,2,1,2
2002,31,,,,,,2
2003,31,6,2,1,2,1,2
2004,31,6,2,1,2,1,2
2005,31,7,2,2,2,1,2
2006,31,6,2,1,2,1,1
2007,31,6,2,1,2,1,2
2008,31,6,2,1,2,1,2
2009,31,6,2,1,2,1,2
2010,31,6,2,1,2,1,2
1981,692,5,2,1,1,1,2
1982,692,5,1,2,1,1,2
1983,692,5,2,2,1,0,2
1984,692,4,1,2,0,1,1
1985,692,5,2,2,0,1,2
1986,692,6,2,2,0,2,2
1987,692,5,2,2,0,1,1
1988,692,6,2,2,1,1,1
1989,692,5,2,2,1,0,1
1990,692,5,2,2,0,1,1
1991,692,6,2,2,0,2,0
1992,692,6,2,2,0,2,0
1993,692,5,2,2,0,1,1
1994,692,6,2,2,1,1,1
1995,692,4,2,1,1,0,1
1996,692,3,2,1,0,0,1
1997,692,5,2,2,0,1,1
1998,692,3,2,1,0,0,1
1999,692,5,2,2,0,1,1
2000,692,3,2,1,0,0,1
2001,692,6,2,2,1,1,0
2002,692,7,2,2,2,1,0
2003,692,7,2,2,2,1,0
2004,692,6,2,2,1,1,0
2005,692,6,2,2,1,1,0
2006,692,6,2,2,1,1,0
2007,692,6,2,2,1,1,0
2008,692,6,2,2,1,1,1
2009,692,7,2,2,2,1,1
2010,692,5,2,2,1,0,1
1981,771,5,2,2,0,1,1
1982,771,4,1,1,1,1,1
1983,771,4,1,1,1,1,1
1984,771,5,2,1,1,1,1
1985,771,4,2,1,0,1,1
1986,771,5,2,1,1,1,2
1987,771,4,2,0,1,1,1
1988,771,4,2,0,1,1,2
1989,771,5,2,1,1,1,2
1990,771,3,2,0,0,1,1
1991,771,4,2,1,1,0,1
1992,771,1,1,0,0,0,1
1993,771,5,2,1,1,1,2
1994,771,3,2,1,0,0,2
1995,771,3,2,1,0,0,1
1996,771,3,1,1,1,0,1
1997,771,4,2,1,1,0,1
1998,771,3,2,0,0,1,1
1999,771,4,2,1,1,0,1
2000,771,2,1,0,1,0,1
2001,771,4,2,1,1,0,1
2002,771,1,1,0,0,0,1
2003,771,0,0,0,0,0,0
2004,771,1,1,0,0,0,0
2005,771,0,0,0,0,0,0
2006,771,1,1,0,0,0,0
2007,771,0,0,0,0,0,0
2008,771,1,1,0,0,0,0
2009,771,1,1,0,0,0,0
