YEAR,COW,PHYSINT,DISAP,KILL,POLPRIS,TORT,INJUD
1988,531,,,,,,
1989,531,,,,,,
1990,531,,,,,,
1991,531,,,,,,
1992,531,,,,,,
1993,531,5,1,2,0,2,1
1994,531,6,2,2,0,2,1
1995,531,6,2,2,0,2,1
1996,531,4,1,1,0,2,1
1997,531,5,2,1,0,2,1
1998,531,6,2,1,1,2,1
1999,531,4,1,1,0,2,1
2000,531,6,2,2,1,1,1
2001,531,4,1,2,0,1,1
2002,531,5,2,2,0,1,1
2003,531,3,1,2,0,0,1
2004,531,4,2,2,0,0,1
2005,531,2,2,0,0,0,0
2006,531,2,1,1,0,0,0
2007,531,2,1,1,0,0,0
2008,531,0,0,0,0,0,0
2009,531,2,1,1,0,0,0
2010,531,0,0,0,0,0,0
1981,366,,,,,,
1982,366,,,,,,
1983,366,,,,,,
1984,366,,,,,,
1985,366,,,,,,
1986,366,,,,,,
1987,366,,,,,,
1988,366,,,,,,
1989,366,,,,,,
1990,366,,,,,,
1991,366,,,,,,
1992,366,8,2,2,2,2,2
1993,366,7,2,2,2,1,2
1994,366,7,2,2,2,1,2
1995,366,7,2,2,2,1,2
1996,366,7,2,2,2,1,2
1997,366,7,2,2,2,1,2
1998,366,7,2,2,2,1,2
1999,366,7,2,2,2,1,2
2000,366,8,2,2,2,2,2
2001,366,7,2,2,2,1,2
2002,366,7,2,2,2,1,2
2003,366,7,2,2,2,1,2
2004,366,7,2,2,2,1,2
2005,366,7,2,2,2,1,2
2006,366,7,2,2,2,1,2
2007,366,7,2,2,2,1,2
2008,366,7,2,2,2,1,2
2009,366,7,2,2,2,1,2
2010,366,7,2,2,2,1,2
1981,530,0,0,0,0,0,0
1982,530,0,0,0,0,0,0
1983,530,0,0,0,0,0,0
1984,530,2,1,0,0,1,0
1985,530,3,1,1,1,0,0
1986,530,1,1,0,0,0,0
1987,530,1,1,0,0,0,0
1988,530,1,1,0,0,0,0
1989,530,1,1,0,0,0,0
1990,530,0,0,0,0,0,0
1991,530,,-77,-77,-77,-77,-77
1992,530,3,2,0,0,1,-77
1993,530,4,1,1,1,1,0
1994,530,0,0,0,0,0,1
1995,530,0,0,0,0,0,1
1996,530,1,0,1,0,0,1
1997,530,4,2,2,0,0,1
1998,530,5,2,2,0,1,1
1999,530,3,1,1,1,0,1
2000,530,2,1,0,0,1,1
2001,530,3,2,1,0,0,1
2002,530,2,2,0,0,0,1
2003,530,1,0,1,0,0,1
2004,530,1,1,0,0,0,1
2005,530,0,0,0,0,0,1
2006,530,1,0,1,0,0,1
2007,530,1,1,0,0,0,1
2008,530,2,1,1,0,0,0
2009,530,3,2,1,0,0,0
2010,530,2,1,1,0,0,0
1981,950,8,2,2,2,2,2
1982,950,8,2,2,2,2,2
1983,950,8,2,2,2,2,2
1984,950,8,2,2,2,2,2
1985,950,8,2,2,2,2,2
1986,950,8,2,2,2,2,2
1987,950,3,1,1,1,0,0
1988,950,6,2,2,1,1,2
1989,950,6,2,2,1,1,2
1990,950,6,1,2,2,1,2
1991,950,8,2,2,2,2,2
1992,950,8,2,2,2,2,2
1993,950,7,2,2,2,1,2
1994,950,8,2,2,2,2,2
1995,950,8,2,2,2,2,2
1996,950,7,2,2,2,1,2
1997,950,7,2,2,2,1,2
1998,950,7,2,2,2,1,2
1999,950,7,2,2,2,1,2
2000,950,7,2,1,2,2,2
2001,950,6,2,1,2,1,2
2002,950,7,2,2,2,1,2
2003,950,7,2,2,2,1,2
2004,950,7,2,2,2,1,2
2005,950,7,2,2,2,1,2
2006,950,5,2,2,1,0,2
2007,950,5,2,1,1,1,0
2008,950,5,2,1,1,1,0
2009,950,6,2,2,1,1,0
2010,950,6,2,2,1,1,0
1981,375,8,2,2,2,2,2
1982,375,8,2,2,2,2,2
1983,375,8,2,2,2,2,2
1984,375,8,2,2,2,2,2
1985,375,8,2,2,2,2,2
1986,375,8,2,2,2,2,2
1987,375,7,2,2,2,1,2
1988,375,8,2,2,2,2,2
1989,375,8,2,2,2,2,2
1990,375,8,2,2,2,2,2
1991,375,8,2,2,2,2,2
1992,375,8,2,2,2,2,2
1993,375,8,2,2,2,2,2
1994,375,8,2,2,2,2,2
1995,375,8,2,2,2,2,2
1996,375,8,2,2,2,2,2
1997,375,8,2,2,2,2,2
1998,375,8,2,2,2,2,2
1999,375,8,2,2,2,2,2
2000,375,8,2,2,2,2,2
2001,375,8,2,2,2,2,2
2002,375,8,2,2,2,2,2
2003,375,7,2,2,1,2,2
2004,375,8,2,2,2,2,2
2005,375,7,2,2,1,2,2
2006,375,7,2,2,1,2,2
2007,375,7,2,2,1,2,2
2008,375,7,2,2,1,2,2
2009,375,7,2,2,1,2,2
2010,375,7,2,2,1,2,2
1981,220,8,2,2,2,2,2
1982,220,7,2,2,1,2,2
1983,220,7,2,2,1,2,2
1984,220,7,2,2,1,2,2
1985,220,6,2,1,1,2,2
1986,220,7,2,2,1,2,2
1987,220,6,2,2,0,2,2
1988,220,5,2,1,1,1,2
1989,220,5,2,2,0,1,2
1990,220,5,2,2,0,1,2
1991,220,7,2,2,2,1,2
1992,220,8,2,2,2,2,2
1993,220,6,2,1,2,1,2
1994,220,8,2,2,2,2,2
1995,220,8,2,2,2,2,2
1996,220,8,2,2,2,2,2
1997,220,8,2,2,2,2,2
1998,220,6,2,2,2,0,2
1999,220,6,2,2,2,0,2
2000,220,6,2,2,2,0,2
2001,220,7,2,2,2,1,2
2002,220,7,2,2,2,1,2
2003,220,5,2,1,2,0,2
2004,220,6,2,2,2,0,2
2005,220,7,2,2,2,1,2
2006,220,7,2,2,2,1,2
2007,220,7,2,2,2,1,2
2008,220,6,2,1,2,1,2
2009,220,7,2,2,2,1,2
2010,220,7,2,2,2,1,2
1981,481,7,2,2,1,2,1
1982,481,6,2,2,1,1,1
1983,481,6,2,2,1,1,1
1984,481,6,2,2,1,1,0
1985,481,7,2,2,2,1,1
1986,481,8,2,2,2,2,1
1987,481,7,2,2,2,1,1
1988,481,6,2,2,1,1,0
1989,481,7,2,2,2,1,1
1990,481,4,2,1,1,0,2
1991,481,7,2,2,2,1,2
1992,481,8,2,2,2,2,2
1993,481,5,2,1,2,0,2
1994,481,4,2,0,1,1,2
1995,481,8,2,2,2,2,1
1996,481,7,2,2,2,1,1
1997,481,6,2,2,2,0,1
1998,481,7,2,2,2,1,1
1999,481,6,2,2,1,1,1
2000,481,8,2,2,2,2,1
2001,481,6,2,1,2,1,1
2002,481,7,2,2,2,1,1
2003,481,7,2,2,2,1,1
2004,481,6,2,2,1,1,1
2005,481,5,2,1,1,1,1
2006,481,5,2,1,1,1,0
2007,481,7,2,2,2,1,0
2008,481,6,2,2,1,1,0
2009,481,6,2,2,1,1,0
2010,481,6,2,2,1,1,0
1981,420,8,2,2,2,2,1
1982,420,7,2,2,1,2,2
1983,420,7,2,2,1,2,2
1984,420,6,2,2,0,2,1
1985,420,7,2,2,1,2,2
1986,420,8,2,2,2,2,2
1987,420,6,2,2,1,1,1
1988,420,7,2,2,1,2,2
1989,420,8,2,2,2,2,2
1990,420,8,2,2,2,2,2
1991,420,8,2,2,2,2,2
1992,420,8,2,2,2,2,2
1993,420,7,2,2,2,1,2
1994,420,4,2,1,0,1,0
1995,420,4,2,1,0,1,0
1996,420,6,2,2,1,1,1
1997,420,6,2,2,1,1,1
1998,420,7,2,2,2,1,1
1999,420,6,2,2,1,1,1
2000,420,6,2,2,1,1,1
2001,420,5,2,1,1,1,1
2002,420,7,2,2,1,2,1
2003,420,6,2,2,1,1,1
2004,420,6,2,2,1,1,1
2005,420,6,2,2,1,1,1
2006,420,3,1,1,0,1,1
2007,420,5,2,2,0,1,1
2008,420,6,2,2,1,1,0
2009,420,4,0,2,1,1,0
2010,420,4,1,2,0,1,0
1981,372,,,,,,
1982,372,,,,,,
1983,372,,,,,,
1984,372,,,,,,
1985,372,,,,,,
1986,372,,,,,,
1987,372,,,,,,
1988,372,,,,,,
1989,372,,,,,,
1990,372,,,,,,
1991,372,,,,,,
1992,372,1,1,0,0,0,1
1993,372,3,0,1,1,1,1
1994,372,2,0,1,0,1,0
1995,372,3,0,1,1,1,0
1996,372,2,0,1,1,0,0
1997,372,1,0,0,1,0,0
1998,372,1,1,0,0,0,0
1999,372,2,1,0,1,0,0
2000,372,5,1,2,1,1,1
2001,372,4,2,1,1,0,1
2002,372,5,2,2,1,0,1
2003,372,4,2,1,1,0,1
2004,372,4,2,1,1,0,1
2005,372,6,2,2,2,0,0
2006,372,4,2,1,1,0,1
2007,372,4,2,1,1,0,0
2008,372,5,2,1,1,1,0
2009,372,6,2,2,1,1,0
2010,372,3,1,1,1,0,0
1981,260,8,2,2,2,2,2
1982,260,7,2,2,1,2,2
1983,260,8,2,2,2,2,2
1984,260,7,2,2,2,1,2
1985,260,7,2,2,1,2,2
1986,260,8,2,2,2,2,2
1987,260,8,2,2,2,2,2
1988,260,6,2,2,1,1,2
1989,260,7,2,2,2,1,2
1990,255,7,2,2,1,2,2
1991,255,8,2,2,2,2,2
1992,255,8,2,2,2,2,2
1993,255,7,2,1,2,2,2
1994,255,8,2,2,2,2,2
1995,255,8,2,2,2,2,2
1996,255,8,2,2,2,2,2
1997,255,8,2,2,2,2,2
1998,255,8,2,2,2,2,2
1999,255,6,2,2,1,1,2
2000,255,8,2,2,2,2,2
2001,255,7,2,2,2,1,2
2002,255,7,2,2,2,1,2
2003,255,7,2,2,2,1,2
2004,255,7,2,2,2,1,2
2005,255,8,2,2,2,2,2
2006,255,8,2,2,2,2,2
2007,255,8,2,2,2,2,2
2008,255,7,2,1,2,2,2
2009,255,8,2,2,2,2,2
2010,255,7,2,2,1,2,2
1981,452,,2,-999,1,2,1
1982,452,2,1,0,0,1,1
1983,452,2,1,1,0,0,0
1984,452,5,2,1,1,1,1
1985,452,5,2,2,0,1,1
1986,452,5,2,2,0,1,1
1987,452,5,2,1,1,1,1
1988,452,5,2,2,0,1,0
1989,452,5,2,2,0,1,0
1990,452,4,2,1,0,1,1
1991,452,5,2,2,0,1,0
1992,452,6,2,2,0,2,1
1993,452,5,2,1,1,1,1
1994,452,7,2,2,1,2,1
1995,452,6,2,1,2,1,1
1996,452,6,2,1,2,1,1
1997,452,5,2,2,1,0,1
1998,452,7,2,2,2,1,1
1999,452,6,2,2,1,1,1
2000,452,5,2,1,2,0,1
2001,452,5,2,1,1,1,1
2002,452,6,2,1,2,1,1
2003,452,6,2,1,2,1,1
2004,452,6,2,1,2,1,1
2005,452,6,2,1,2,1,1
2006,452,5,2,1,2,0,1
2007,452,5,2,1,2,0,1
2008,452,5,2,1,2,0,1
2009,452,5,2,1,2,0,1
2010,452,4,2,1,1,0,1
1981,350,7,2,2,1,2,2
1982,350,6,2,2,0,2,2
1983,350,4,2,1,0,1,2
1984,350,5,2,2,0,1,2
1985,350,5,2,1,0,2,2
1986,350,5,2,1,0,2,2
1987,350,6,2,2,1,1,2
1988,350,5,2,2,0,1,2
1989,350,5,2,1,0,2,2
1990,350,6,2,2,1,1,2
1991,350,8,2,2,2,2,2
1992,350,7,2,2,2,1,2
1993,350,5,1,2,1,1,2
1994,350,5,2,2,0,1,2
1995,350,6,2,2,2,0,2
1996,350,6,2,2,1,1,2
1997,350,6,2,2,1,1,2
1998,350,8,2,2,2,2,2
1999,350,7,2,2,2,1,2
2000,350,7,2,2,2,1,2
2001,350,6,2,2,2,0,2
2002,350,7,2,2,2,1,2
2003,350,5,2,1,2,0,2
2004,350,6,2,2,2,0,2
2005,350,6,2,2,1,1,1
2006,350,5,2,2,1,0,1
2007,350,5,2,1,1,1,1
2008,350,4,2,1,1,0,1
2009,350,5,2,2,1,0,1
2010,350,6,2,2,2,0,1
1981,55,,,,,,1
1982,55,,,,,,1
1983,55,,,,,,0
1984,55,,,,,,1
1985,55,,,,,,2
1986,55,,,,,,2
1987,55,,,,,,2
1988,55,,,,,,2
1989,55,,,,,,2
1990,55,,,,,,2
1991,55,,,,,,2
1992,55,,,,,,2
1993,55,,,,,,2
1994,55,,,,,,2
1995,55,,,,,,2
1996,55,,,,,,2
1997,55,,,,,,2
1998,55,,,,,,2
1999,55,,,,,,2
2000,55,,,,,,2
2001,55,8,2,2,2,2,2
2002,55,,,,,,2
2003,55,8,2,2,2,2,2
2004,55,7,2,2,1,2,2
2005,55,6,2,2,1,1,2
2006,55,6,2,2,1,1,2
2007,55,7,2,2,2,1,2
2008,55,7,2,2,2,1,2
2009,55,7,2,2,2,1,2
2010,55,7,2,2,2,1,2
1981,90,0,0,0,0,0,2
1982,90,1,0,0,0,1,1
1983,90,1,0,0,1,0,1
1984,90,0,0,0,0,0,2
1985,90,0,0,0,0,0,1
1986,90,0,0,0,0,0,1
1987,90,4,1,1,1,1,2
1988,90,1,0,1,0,0,1
1989,90,2,0,0,1,1,1
1990,90,1,0,0,1,0,2
1991,90,2,0,0,1,1,2
1992,90,2,1,0,1,0,1
1993,90,4,1,0,2,1,0
1994,90,2,0,0,2,0,1
1995,90,2,0,0,2,0,1
1996,90,3,0,0,2,1,1
1997,90,4,1,0,2,1,1
1998,90,5,2,0,2,1,1
1999,90,4,1,0,2,1,1
2000,90,2,1,0,1,0,1
2001,90,4,1,1,2,0,1
2002,90,4,1,1,2,0,1
2003,90,5,2,1,2,0,1
2004,90,5,2,1,2,0,1
2005,90,6,2,1,2,1,1
2006,90,5,2,1,1,1,0
2007,90,6,2,1,2,1,0
2008,90,6,2,1,2,1,0
2009,90,6,2,1,2,1,0
2010,90,6,2,1,2,1,1
1981,438,4,1,1,0,2,0
1982,438,7,2,2,1,2,0
1983,438,6,2,2,1,1,1
1984,438,3,2,1,0,0,0
1985,438,3,1,1,1,0,1
1986,438,7,2,2,2,1,1
1987,438,3,0,1,1,1,1
1988,438,2,0,2,0,0,1
1989,438,4,2,1,1,0,1
1990,438,5,2,1,1,1,0
1991,438,4,2,1,1,0,1
1992,438,5,2,1,1,1,1
1993,438,4,2,1,1,0,0
1994,438,5,2,2,1,0,0
1995,438,4,2,2,0,0,0
1996,438,2,0,1,1,0,0
1997,438,4,1,2,1,0,0
1998,438,4,1,2,1,0,0
1999,438,2,1,1,0,0,0
2000,438,2,1,0,1,0,0
2001,438,3,1,1,1,0,0
2002,438,4,2,1,1,0,0
2003,438,6,2,1,2,1,0
2004,438,5,2,1,1,1,0
2005,438,5,2,1,1,1,0
2006,438,4,2,1,0,1,0
2007,438,2,2,0,0,0,0
2008,438,4,2,1,1,0,0
2009,438,2,1,0,1,0,0
2010,438,4,2,1,1,0,0
1981,404,7,2,2,1,2,0
1982,404,6,2,2,1,1,0
1983,404,8,2,2,2,2,0
1984,404,8,2,2,2,2,0
1985,404,5,2,1,1,1,0
1986,404,5,2,1,1,1,0
1987,404,6,2,1,1,2,0
1988,404,5,2,1,1,1,0
1989,404,6,2,2,1,1,0
1990,404,6,2,2,1,1,0
1991,404,6,2,2,1,1,1
1992,404,6,2,2,2,0,1
1993,404,4,2,1,1,0,1
1994,404,4,2,2,0,0,1
1995,404,7,2,2,2,1,1
1996,404,6,2,1,2,1,1
1997,404,6,2,2,2,0,1
1998,404,,-77,-77,-77,-77,-77
1999,404,3,2,1,0,0,1
2000,404,7,2,2,2,1,1
2001,404,6,2,2,1,1,1
2002,404,5,2,2,1,0,1
2003,404,4,2,1,1,0,1
2004,404,6,2,1,2,1,1
2005,404,6,2,1,2,1,1
2006,404,6,2,2,1,1,0
2007,404,6,2,2,1,1,0
2008,404,5,2,1,1,1,0
2009,404,5,2,1,1,1,0
2010,404,6,2,2,1,1,0
1981,110,5,2,1,1,1,1
1982,110,5,2,1,1,1,1
1983,110,6,2,2,1,1,2
1984,110,5,2,1,2,0,1
1985,110,7,2,2,2,1,2
1986,110,7,2,2,2,1,2
1987,110,6,2,1,2,1,2
1988,110,7,2,2,2,1,1
1989,110,6,2,2,1,1,1
1990,110,5,2,1,2,0,2
1991,110,7,2,2,2,1,2
1992,110,7,2,2,2,1,2
1993,110,6,2,1,2,1,2
1994,110,7,2,2,2,1,2
1995,110,8,2,2,2,2,2
1996,110,6,2,1,2,1,2
1997,110,6,2,1,2,1,2
1998,110,8,2,2,2,2,1
1999,110,7,2,2,2,1,1
2000,110,6,2,1,2,1,1
2001,110,6,2,1,2,1,1
2002,110,4,2,1,1,0,1
2003,110,4,2,1,1,0,1
2004,110,4,2,1,1,0,1
2005,110,5,2,1,1,1,1
2006,110,5,2,1,1,1,1
2007,110,5,2,1,1,1,2
2008,110,5,2,1,1,1,2
2009,110,5,2,1,1,1,2
2010,110,5,2,1,1,1,2
1981,41,5,2,1,1,1,0
1982,41,5,2,1,1,1,1
1983,41,5,2,1,1,1,1
1984,41,3,2,1,0,0,0
1985,41,5,2,1,1,1,1
1986,41,3,1,1,1,0,1
1987,41,0,0,0,0,0,0
1988,41,3,1,1,1,0,1
1989,41,4,2,1,1,0,1
1990,41,2,2,0,0,0,0
1991,41,3,2,0,0,1,0
1992,41,0,0,0,0,0,0
1993,41,0,0,0,0,0,0
1994,41,0,0,0,0,0,0
1995,41,6,2,2,2,0,0
1996,41,5,2,1,1,1,0
1997,41,5,2,1,2,0,0
1998,41,3,2,1,0,0,0
1999,41,2,1,1,0,0,0
2000,41,5,2,2,1,0,0
2001,41,4,2,1,1,0,0
2002,41,3,1,1,1,0,0
2003,41,2,1,1,0,0,0
2004,41,2,1,0,1,0,0
2005,41,2,1,1,0,0,0
2006,41,4,2,1,0,1,0
2007,41,5,2,1,1,1,0
2008,41,5,2,1,1,1,0
2009,41,5,2,1,1,1,0
2010,41,6,2,1,2,1,0
1981,91,1,0,1,0,0,1
1982,91,3,1,1,1,0,2
1983,91,4,1,1,2,0,2
1984,91,4,1,1,2,0,1
1985,91,5,2,2,1,0,1
1986,91,5,2,2,1,0,1
1987,91,4,1,1,2,0,1
1988,91,3,1,1,1,0,1
1989,91,4,1,1,2,0,1
1990,91,3,1,0,2,0,2
1991,91,5,2,1,1,1,1
1992,91,5,2,1,1,1,1
1993,91,5,2,1,2,0,2
1994,91,5,2,1,1,1,2
1995,91,6,2,2,1,1,2
1996,91,6,2,1,2,1,1
1997,91,6,2,1,2,1,1
1998,91,5,2,1,1,1,1
1999,91,3,1,0,2,0,1
2000,91,6,2,1,2,1,1
2001,91,6,2,1,2,1,1
2002,91,6,2,1,2,1,1
2003,91,5,2,0,2,1,1
2004,91,4,2,1,1,0,1
2005,91,5,2,1,1,1,1
2006,91,5,1,1,2,1,0
2007,91,4,1,1,1,1,0
2008,91,4,1,1,1,1,0
2009,91,2,1,1,0,0,0
2010,91,3,1,1,1,0,0
1981,310,7,2,2,1,2,0
1982,310,6,2,2,1,1,0
1983,310,6,2,2,1,1,0
1984,310,7,2,2,1,2,0
1985,310,6,2,2,0,2,1
1986,310,7,2,2,1,2,1
1987,310,6,2,2,1,1,1
1988,310,7,2,2,1,2,1
1989,310,8,2,2,2,2,2
1990,310,8,2,2,2,2,2
1991,310,8,2,2,2,2,2
1992,310,8,2,2,2,2,2
1993,310,7,2,2,2,1,2
1994,310,8,2,2,2,2,2
1995,310,8,2,2,2,2,2
1996,310,7,2,2,2,1,2
1997,310,7,2,2,2,1,2
1998,310,8,2,2,2,2,2
1999,310,7,2,2,2,1,2
2000,310,8,2,2,2,2,2
2001,310,7,2,2,2,1,2
2002,310,7,2,2,2,1,2
2003,310,7,2,2,2,1,2
2004,310,6,2,1,2,1,2
2005,310,7,2,2,2,1,2
2006,310,7,2,2,2,1,2
2007,310,6,2,2,2,0,2
2008,310,7,2,2,2,1,2
2009,310,7,2,2,2,1,2
2010,310,6,2,2,2,0,2
1981,395,8,2,2,2,2,2
1982,395,8,2,2,2,2,2
1983,395,8,2,2,2,2,2
1984,395,8,2,2,2,2,2
1985,395,8,2,2,2,2,2
1986,395,8,2,2,2,2,2
1987,395,8,2,2,2,2,2
1988,395,8,2,2,2,2,2
1989,395,8,2,2,2,2,2
1990,395,8,2,2,2,2,2
1991,395,8,2,2,2,2,2
1992,395,8,2,2,2,2,2
1993,395,8,2,2,2,2,2
1994,395,8,2,2,2,2,2
1995,395,8,2,2,2,2,2
1996,395,8,2,2,2,2,2
1997,395,8,2,2,2,2,2
1998,395,8,2,2,2,2,2
1999,395,8,2,2,2,2,2
2000,395,8,2,2,2,2,2
2001,395,8,2,2,2,2,2
2002,395,8,2,2,2,2,2
2003,395,8,2,2,2,2,2
2004,395,8,2,2,2,2,2
2005,395,8,2,2,2,2,2
2006,395,8,2,2,2,2,2
2007,395,8,2,2,2,2,2
2008,395,8,2,2,2,2,2
2009,395,8,2,2,2,2,2
2010,395,8,2,2,2,2,2
1981,750,4,2,1,0,1,1
1982,750,2,2,0,0,0,2
1983,750,3,2,1,0,0,2
1984,750,2,1,1,0,0,1
1985,750,2,2,0,0,0,1
1986,750,2,2,0,0,0,1
1987,750,2,1,1,0,0,2
1988,750,1,1,0,0,0,1
1989,750,1,1,0,0,0,1
1990,750,2,1,1,0,0,2
1991,750,0,0,0,0,0,2
1992,750,0,0,0,0,0,2
1993,750,0,0,0,0,0,2
1994,750,0,0,0,0,0,2
1995,750,0,0,0,0,0,2
1996,750,0,0,0,0,0,2
1997,750,0,0,0,0,0,2
1998,750,0,0,0,0,0,2
1999,750,0,0,0,0,0,2
2000,750,1,1,0,0,0,2
2001,750,0,0,0,0,0,1
2002,750,0,0,0,0,0,1
2003,750,1,0,0,1,0,1
2004,750,0,0,0,0,0,1
2005,750,0,0,0,0,0,1
2006,750,0,0,0,0,0,1
2007,750,0,0,0,0,0,1
2008,750,0,0,0,0,0,1
2009,750,0,0,0,0,0,1
2010,750,0,0,0,0,0,0
1981,850,2,1,0,0,1,0
1982,850,4,2,0,1,1,1
1983,850,4,1,1,1,1,1
1984,850,1,0,1,0,0,0
1985,850,3,1,1,0,1,1
1986,850,5,1,2,1,1,1
1987,850,2,1,1,0,0,0
1988,850,4,1,1,1,1,1
1989,850,4,1,1,1,1,1
1990,850,0,0,0,0,0,0
1991,850,1,1,0,0,0,0
1992,850,0,0,0,0,0,0
1993,850,1,1,0,0,0,0
1994,850,3,2,1,0,0,0
1995,850,3,1,2,0,0,0
1996,850,1,1,0,0,0,0
1997,850,0,0,0,0,0,0
1998,850,0,0,0,0,0,0
1999,850,0,0,0,0,0,0
2000,850,1,0,0,1,0,0
2001,850,1,0,0,1,0,0
2002,850,1,0,0,1,0,0
2003,850,1,0,0,1,0,0
2004,850,1,0,0,1,0,0
2005,850,1,1,0,0,0,0
2006,850,4,2,1,1,0,1
2007,850,3,2,1,0,0,0
2008,850,3,2,1,0,0,0
2009,850,3,2,1,0,0,0
2010,850,3,2,1,0,0,0
1981,630,1,1,0,0,0,0
1982,630,0,0,0,0,0,0
1983,630,0,0,0,0,0,0
1984,630,1,1,0,0,0,0
1985,630,1,1,0,0,0,1
1986,630,1,1,0,0,0,1
1987,630,1,1,0,0,0,0
1988,630,1,1,0,0,0,1
1989,630,2,2,0,0,0,1
1990,630,1,1,0,0,0,0
1991,630,1,1,0,0,0,0
1992,630,3,2,0,0,1,0
1993,630,1,1,0,0,0,0
1994,630,3,2,1,0,0,0
1995,630,2,1,1,0,0,0
1996,630,2,1,0,0,1,0
1997,630,1,1,0,0,0,0
1998,630,1,1,0,0,0,0
1999,630,0,0,0,0,0,0
2000,630,1,1,0,0,0,0
2001,630,1,1,0,0,0,0
2002,630,1,1,0,0,0,0
2003,630,2,2,0,0,0,0
2004,630,,-999,0,0,0,0
2005,630,1,1,0,0,0,0
2006,630,,-999,0,0,0,0
2007,630,1,1,0,0,0,0
2008,630,0,0,0,0,0,0
2009,630,0,0,0,0,0,0
2010,630,0,0,0,0,0,0
1981,645,0,0,0,0,0,1
1982,645,0,0,0,0,0,2
1983,645,0,0,0,0,0,2
1984,645,1,1,0,0,0,1
1985,645,0,0,0,0,0,1
1986,645,0,0,0,0,0,1
1987,645,0,0,0,0,0,1
1988,645,0,0,0,0,0,1
1989,645,0,0,0,0,0,2
1990,645,0,0,0,0,0,1
1991,645,0,0,0,0,0,1
1992,645,0,0,0,0,0,1
1993,645,0,0,0,0,0,0
1994,645,2,2,0,0,0,0
1995,645,3,2,1,0,0,0
1996,645,0,0,0,0,0,0
1997,645,0,0,0,0,0,0
1998,645,0,0,0,0,0,0
1999,645,0,0,0,0,0,0
2000,645,0,0,0,0,0,0
2001,645,0,0,0,0,0,0
2002,645,0,0,0,0,0,0
2003,645,,-66,-66,-66,-66,-66
2004,645,,-66,-66,-66,-66,-66
2005,645,1,0,0,1,0,0
2006,645,1,0,0,1,0,1
2007,645,0,0,0,0,0,0
2008,645,1,1,0,0,0,0
2009,645,3,1,1,1,0,0
2010,645,3,1,1,1,0,0
1981,205,7,2,2,1,2,2
1982,205,8,2,2,2,2,2
1983,205,8,2,2,2,2,2
1984,205,7,2,2,2,1,2
1985,205,7,2,2,2,1,2
1986,205,8,2,2,2,2,1
1987,205,7,2,2,2,1,2
1988,205,8,2,2,2,2,2
1989,205,8,2,2,2,2,2
1990,205,7,2,2,2,1,2
1991,205,8,2,2,2,2,2
1992,205,8,2,2,2,2,2
1993,205,7,2,2,2,1,2
1994,205,8,2,2,2,2,2
1995,205,8,2,2,2,2,2
1996,205,7,2,2,2,1,2
1997,205,8,2,2,2,2,2
1998,205,8,2,2,2,2,2
1999,205,7,2,2,1,2,2
2000,205,8,2,2,2,2,2
2001,205,8,2,2,2,2,2
2002,205,8,2,2,2,2,2
2003,205,7,2,2,2,1,2
2004,205,7,2,2,2,1,2
2005,205,7,2,2,2,1,2
2006,205,7,2,2,2,1,2
2007,205,7,2,2,2,1,2
2008,205,6,2,2,2,0,2
2009,205,7,2,2,2,1,2
2010,205,7,2,2,2,1,2
1981,666,2,1,1,0,0,2
1982,666,4,1,1,1,1,1
1983,666,4,2,1,0,1,1
1984,666,4,2,2,0,0,2
1985,666,3,1,1,1,0,1
1986,666,4,1,1,1,1,1
1987,666,3,2,1,0,0,2
1988,666,4,1,1,1,1,1
1989,666,2,2,0,0,0,2
1990,666,5,2,2,1,0,2
1991,666,3,2,1,0,0,2
1992,666,3,2,0,1,0,2
1993,666,4,2,1,1,0,2
1994,666,2,2,0,0,0,2
1995,666,4,2,1,1,0,2
1996,666,5,2,1,1,1,2
1997,666,3,2,1,0,0,1
1998,666,4,2,1,0,1,1
1999,666,3,2,1,0,0,1
2000,666,3,1,0,1,1,1
2001,666,2,2,0,0,0,2
2002,666,2,2,0,0,0,2
2003,666,2,2,0,0,0,2
2004,666,2,2,0,0,0,2
2005,666,2,2,0,0,0,2
2006,666,2,2,0,0,0,2
2007,666,2,2,0,0,0,2
2008,666,3,2,1,0,0,2
2009,666,2,2,0,0,0,2
2010,666,2,2,0,0,0,2
1981,325,7,2,2,1,2,2
1982,325,7,2,2,2,1,2
1983,325,7,2,2,2,1,2
1984,325,8,2,2,2,2,2
1985,325,7,2,2,2,1,2
1986,325,8,2,2,2,2,2
1987,325,6,2,2,1,1,2
1988,325,8,2,2,2,2,2
1989,325,6,2,2,1,1,2
1990,325,7,2,2,2,1,2
1991,325,7,2,2,2,1,2
1992,325,7,2,2,2,1,2
1993,325,7,2,2,2,1,2
1994,325,6,2,2,2,0,2
1995,325,6,2,2,2,0,2
1996,325,7,2,2,2,1,2
1997,325,7,2,2,2,1,2
1998,325,8,2,2,2,2,2
1999,325,5,2,1,1,1,2
2000,325,7,2,2,2,1,2
2001,325,7,2,2,2,1,2
2002,325,7,2,2,2,1,2
2003,325,6,2,2,2,0,2
2004,325,6,2,1,2,1,2
2005,325,7,2,2,2,1,2
2006,325,6,2,2,1,1,1
2007,325,6,2,1,2,1,1
2008,325,7,2,2,2,1,1
2009,325,5,2,1,2,0,1
2010,325,7,2,2,2,1,1
1981,51,7,2,2,2,1,2
1982,51,8,2,2,2,2,2
