,country,sig_date,asr_date
109,Pakistan,17 Apr	 2008,23 Jun	 2010
110,Palau,20 Sep	 2011,
111,Panama,22 Feb	 1985,24 Aug	 1987
112,Paraguay,23 Oct	 1989,12 Mar	 1990
113,Peru,29 May	 1985,7 Jul	 1988
114,Philippines,,18 Jun	 1986 a
115,Poland,13 Jan	 1986,26 Jul	 1989
116,Portugal5,4 Feb	 1985,9 Feb	 1989
117,Qatar,,11 Jan	 2000 a
118,Republic of Korea,,9 Jan	 1995 a
119,Republic of Moldova,,28 Nov	 1995 a
120,Romania,,18 Dec	 1990 a
121,Russian Federation,10 Dec	 1985,3 Mar	 1987
122,Rwanda,,15 Dec	 2008 a
123,San Marino,18 Sep	 2002,27 Nov	 2006
124,Sao Tome and Principe,6 Sep	 2000,
125,Saudi Arabia,,23 Sep	 1997 a
126,Senegal,4 Feb	 1985,21 Aug	 1986
127,Serbia4,,12 Mar	 2001 d
128,Seychelles,,5 May	 1992 a
129,Sierra Leone,18 Mar	 1985,25 Apr	 2001
130,Slovakia7,,28 May	 1993 d
131,Slovenia,,16 Jul	 1993 a
132,Somalia,,24 Jan	 1990 a
133,South Africa,29 Jan	 1993,10 Dec	 1998
134,Spain,4 Feb	 1985,21 Oct	 1987
135,Sri Lanka,,3 Jan	 1994 a
136,St. Vincent and the Grenadines,,1 Aug	 2001 a
137,Sudan,4 Jun	 1986,
138,Swaziland,,26 Mar	 2004 a
139,Sweden,4 Feb	 1985,8 Jan	 1986
140,Switzerland,4 Feb	 1985,2 Dec	 1986
141,Syrian Arab Republic,,19 Aug	 2004 a
142,Tajikistan,,11 Jan	 1995 a
143,Thailand,,2 Oct	 2007 a
144,The former Yugoslav Republic of Macedonia4,,12 Dec	 1994 d
145,Timor-Leste,,16 Apr	 2003 a
146,Togo,25 Mar	 1987,18 Nov	 1987
147,Tunisia,26 Aug	 1987,23 Sep	 1988
148,Turkey,25 Jan	 1988,2 Aug	 1988
149,Turkmenistan,,25 Jun	 1999 a
150,Uganda,,3 Nov	 1986 a
151,Ukraine,27 Feb	 1986,24 Feb	 1987
152,United Arab Emirates,,19 Jul	 2012 a
153,"United Kingdom of Great Britain and Northern Ireland6,11",15 Mar	 1985,8 Dec	 1988
154,United States of America12,18 Apr	 1988,21 Oct	 1994
155,Uruguay,4 Feb	 1985,24 Oct	 1986
156,Uzbekistan,,28 Sep	 1995 a
157,Vanuatu,,12 Jul	 2011 a
158,Venezuela (Bolivarian Republic of),15 Feb	 1985,29 Jul	 1991
159,Yemen,,5 Nov	 1991 a
160,Zambia,,7 Oct	 1998 a
