country	year	INGO_uia
Nicaragua	1977	187
Nicaragua	1978	187
Nicaragua	1979	187
Nicaragua	1980	187
Nicaragua	1981	187
Nicaragua	1982	248
Nicaragua	1983	268
Nicaragua	1984	278
Nicaragua	1985	278
Nicaragua	1986	279
Nicaragua	1987	292
Nicaragua	1988	305
Nicaragua	1989	318
Nicaragua	1990	332
Nicaragua	1991	336
Nicaragua	1992	364
Nicaragua	1993	366
Nicaragua	1994	373
Nicaragua	1995	374
Nicaragua	1996	392
Nicaragua	1997	391
Nicaragua	1998	392
Nicaragua	1999	395
Costa Rica	1966	170
Costa Rica	1977	266
Costa Rica	1978	266
Costa Rica	1979	266
Costa Rica	1980	266
Costa Rica	1981	266
Costa Rica	1982	386
Costa Rica	1983	411
Costa Rica	1984	448
Costa Rica	1985	448
Costa Rica	1986	453
Costa Rica	1987	496
Costa Rica	1988	541
Costa Rica	1989	574
Costa Rica	1990	601
Costa Rica	1991	627
Costa Rica	1992	658
Costa Rica	1993	677
Costa Rica	1994	684
Costa Rica	1995	690
Costa Rica	1996	731
Costa Rica	1997	746
Costa Rica	1998	758
Costa Rica	1999	763
Panama	1966	175
Panama	1977	276
Panama	1978	276
Panama	1979	276
Panama	1980	276
Panama	1981	276
Panama	1982	388
Panama	1983	404
Panama	1984	430
Panama	1985	430
Panama	1986	428
Panama	1987	456
Panama	1988	490
Panama	1989	524
Panama	1990	537
Panama	1991	549
Panama	1992	557
Panama	1993	561
Panama	1994	564
Panama	1995	561
Panama	1996	585
Panama	1997	578
Panama	1998	597
Panama	1999	584
Liberia	1966	75
Liberia	1977	116
Liberia	1978	116
Liberia	1979	116
Liberia	1980	116
Liberia	1981	116
Liberia	1982	179
Liberia	1983	199
Liberia	1984	204
Liberia	1985	204
Liberia	1986	213
Liberia	1987	225
Liberia	1988	257
Liberia	1989	268
Liberia	1990	277
Liberia	1991	283
Liberia	1992	276
Liberia	1993	274
Liberia	1994	271
Liberia	1995	266
Liberia	1996	264
Liberia	1997	260
Liberia	1998	258
Liberia	1999	241
Colombia	1966	329
Colombia	1977	497
Colombia	1978	497
Colombia	1979	497
Colombia	1980	497
Colombia	1981	497
Colombia	1982	677
Colombia	1983	698
Colombia	1984	745
Colombia	1985	745
Colombia	1986	724
Colombia	1987	786
Colombia	1988	824
Colombia	1989	844
Colombia	1990	873
Colombia	1991	899
Colombia	1992	934
Colombia	1993	964
Colombia	1994	985
Colombia	1995	993
Colombia	1996	1032
Colombia	1997	1035
Colombia	1998	1071
Colombia	1999	1108
Venezuela, RB	1966	369
Venezuela, RB	1977	557
Venezuela, RB	1978	557
Venezuela, RB	1979	557
Venezuela, RB	1980	557
Venezuela, RB	1981	557
Venezuela, RB	1982	791
Venezuela, RB	1983	801
Venezuela, RB	1984	829
Venezuela, RB	1985	829
Venezuela, RB	1986	802
Venezuela, RB	1987	860
Venezuela, RB	1988	894
Venezuela, RB	1989	929
Venezuela, RB	1990	951
Venezuela, RB	1991	972
Venezuela, RB	1992	993
Venezuela, RB	1993	1026
Venezuela, RB	1994	1050
Venezuela, RB	1995	1046
Venezuela, RB	1996	1085
Venezuela, RB	1997	1083
Venezuela, RB	1998	1090
Venezuela, RB	1999	1112
Guyana	1966	72
Guyana	1977	127
Guyana	1978	127
Guyana	1979	127
Guyana	1980	127
Guyana	1981	127
Guyana	1982	172
Guyana	1983	181
Guyana	1984	203
Guyana	1985	203
Guyana	1986	217
Guyana	1987	220
Guyana	1988	236
Guyana	1989	246
Guyana	1990	261
Guyana	1991	268
Guyana	1992	274
Guyana	1993	276
Guyana	1994	277
Guyana	1995	284
Guyana	1996	283
Guyana	1997	286
Guyana	1998	287
Guyana	1999	284
Suriname	1966	37
Suriname	1977	80
Suriname	1978	80
Suriname	1979	80
Suriname	1980	80
Suriname	1981	80
Suriname	1982	130
Suriname	1983	138
Suriname	1984	147
Suriname	1985	147
Suriname	1986	143
Suriname	1987	149
Suriname	1988	160
Suriname	1989	165
Suriname	1990	180
Suriname	1991	188
Suriname	1992	186
Suriname	1993	188
Suriname	1994	193
Suriname	1995	194
Suriname	1996	197
Suriname	1997	197
Suriname	1998	203
Suriname	1999	205
Ecuador	1966	205
Ecuador	1977	314
Ecuador	1978	314
Ecuador	1979	314
Ecuador	1980	314
Ecuador	1981	314
Ecuador	1982	442
Ecuador	1983	452
Ecuador	1984	488
Ecuador	1985	488
Ecuador	1986	470
Ecuador	1987	499
Ecuador	1988	530
Ecuador	1989	559
Ecuador	1990	585
Ecuador	1991	600
Ecuador	1992	620
Ecuador	1993	635
Ecuador	1994	638
Ecuador	1995	654
Ecuador	1996	691
Ecuador	1997	694
Ecuador	1998	711
Ecuador	1999	718
Peru	1966	361
Peru	1977	472
Peru	1978	472
Peru	1979	472
Peru	1980	472
Peru	1981	472
Peru	1982	624
Peru	1983	630
Peru	1984	664
Peru	1985	664
Peru	1986	644
Peru	1987	689
Peru	1988	733
Peru	1989	779
Peru	1990	805
Peru	1991	832
Peru	1992	856
Peru	1993	874
Peru	1994	894
